County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Seneca,Ovid Farmers Market,Main Street Ovid at Three Bears Park,Main Street,Ovid,NY,14521,Patti Paine Battley,3155399251,,Friday 3pm-7pm,June 19-September 25,M,Y,Y,N,Y,42.67552,-76.82293,"(42.67552, -76.82293)"
Niagara,Veggie Van MM-Taggert Playground,135 Odell St Lackawanna,135 Odell St,Lackawanna,NY,14218,Jen Regan,7162990905,http://cceniagaracounty.org/communities/creating-healthy-schools-communities/creating-healthy-communities/veggie-van,Wed 2:30pm-3:30pm,June 1-October 31,M,Y,Y,N,Y,42.82093,-78.84284,"(42.82093, -78.84284)"
Tompkins,Brooktondale Farmers' Market,"Brooktondale Community Center, 522 Valley Rd. Brooktondale",522 Brooktondale Road,Brooktondale,NY,14817,Barbara Perrone,6075393244,http://bccmarket.wordpress.com,Thursday  4pm-7pm,June 4-September 24,M,Y,N,N,Y,42.38185,-76.39376,"(42.38185, -76.39376)"
Albany,Veggie Mobile-North Albany YMCA,616 N. Pearl St. Albany,616 North Pearl Street,Albany,NY,12204,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 4:45pm-5:45pm,Year-round,YR,Y,Y,Y,Y,42.67368,-73.73953,"(42.67368, -73.73953)"
Orleans,Lori's Market Basket Farm Stand,51 State St.  Holley,51 State Street,Holley,NY,14470,Lori Passarell,5853310708,,Daily  9am-6pm,May 1-November 30,P/M,Y,N,N,Y,43.22135,-78.02329,"(43.22135, -78.02329)"
Erie,Creekside Market Farm Stand,13971 Route 62 Collins,13971 Route 62,Collins,NY,14034,Alan Butzer,7165481863,http://www.creeksideproduce.com,Daily 10am-6pm,April 8-December 26,P/M/X,Y,Y,N,Y,42.49846,-78.92872,"(42.49846, -78.92872)"
Erie,Chiavetta's Potatoes & Greenhouse Farm Stand,9784 South Main St. Angola,9784 South Main St,Angola,NY,14006,Michael Chiavetta,7165490458,,"Sat/Sun 9am-5pm, Mon-Fri 9am-6pm",August 1-October 31,M,Y,Y,N,Y,42.61859,-79.01784,"(42.61859, -79.01784)"
Kings,Project EATS Rockaway Farm Stand,705 Rockaway Ave.  Brooklyn,702 Rockaway Avenue,Brooklyn,NY,11212,Shevan Durant,2126121528,http://www.projecteats.org,Friday  8am-7pm,August 7-November 20,M,Y,Y,N,Y,40.66289,-73.90907,"(40.66289, -73.90907)"
Rensselaer,Kristy's Barn Farm Stand,2385 Brookview Rd. Castleton,2385 Brookview Road,Castleton,NY,12033,Kenneth Johnson,5184776250,http://www.kristysbarn.com,"Mon-Fri 9am-7pm, Sat/Sun 10am-5pm",May 1-November 30,P/M,Y,N,N,Y,42.56495,-73.70495,"(42.56495, -73.70495)"
Dutchess,Judson Farm Market FS,Route 22 Wingdale,Route 22,Wingdale,NY,12594,Richard Judson,8458326286,,Daily 10am-6pm,August 1-October 30,M,Y,N,N,Y,41.62978,-73.57399,"(41.62978, -73.57399)"
