,Market Name,Address Line 1,City,Zip,Contact,State,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude
0,Ovid Farmers Market,Main Street,Ovid,14521.0,Patti Paine Battley,NY,3155399251,,Friday 3pm-7pm,June 19-September 25,M,Y,Y,N,Y,42.67552,-76.82293
1,Veggie Van MM-Taggert Playground,135 Odell St,Lackawanna,14218.0,Jen Regan,NY,7162990905,http://cceniagaracounty.org/communities/creating-healthy-schools-communities/creating-healthy-communities/veggie-van,Wed 2:30pm-3:30pm,June 1-October 31,M,Y,Y,N,Y,42.82093,-78.84284
2,Brooktondale Farmers' Market,522 Brooktondale Road,Brooktondale,14817.0,Barbara Perrone,NY,6075393244,http://bccmarket.wordpress.com,Thursday  4pm-7pm,June 4-September 24,M,Y,N,N,Y,42.38185,-76.39376
3,Veggie Mobile-North Albany YMCA,616 North Pearl Street,Albany,12204.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Wed 4:45pm-5:45pm,Year-round,YR,Y,Y,Y,Y,42.67368,-73.73953
4,Lori's Market Basket Farm Stand,51 State Street,Holley,14470.0,Lori Passarell,NY,5853310708,,Daily  9am-6pm,May 1-November 30,P/M,Y,N,N,Y,43.22135,-78.02329
5,Creekside Market Farm Stand,13971 Route 62,Collins,14034.0,Alan Butzer,NY,7165481863,http://www.creeksideproduce.com,Daily 10am-6pm,April 8-December 26,P/M/X,Y,Y,N,Y,42.498459999999994,-78.92872
6,Chiavetta's Potatoes & Greenhouse Farm Stand,9784 South Main St,Angola,14006.0,Michael Chiavetta,NY,7165490458,,"Sat/Sun 9am-5pm, Mon-Fri 9am-6pm",August 1-October 31,M,Y,Y,N,Y,42.618590000000005,-79.01784
7,Project EATS Rockaway Farm Stand,702 Rockaway Avenue,Brooklyn,11212.0,Shevan Durant,NY,2126121528,http://www.projecteats.org,Friday  8am-7pm,August 7-November 20,M,Y,Y,N,Y,40.662890000000004,-73.90907
8,Kristy's Barn Farm Stand,2385 Brookview Road,Castleton,12033.0,Kenneth Johnson,NY,5184776250,http://www.kristysbarn.com,"Mon-Fri 9am-7pm, Sat/Sun 10am-5pm",May 1-November 30,P/M,Y,N,N,Y,42.56495,-73.70495
9,Judson Farm Market FS,Route 22,Wingdale,12594.0,Richard Judson,NY,8458326286,,Daily 10am-6pm,August 1-October 30,M,Y,N,N,Y,41.62978,-73.57399000000001
